Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_1430800,"Pf3D7_14_v3:1,214,935..1,215,732(+)",PhIL1 interacting protein PIP3,null,null,null,null,null,null,GO:0071944;GO:0070258,cell periphery;inner membrane pellicle complex,GO:0005515,protein binding,null,null,null,null
PF3D7_1430900,"Pf3D7_14_v3:1,216,653..1,217,171(-)","cytochrome c oxidase subunit 2, putative",GO:0016020,membrane,GO:0005507;GO:0004129,copper ion binding;cytochrome-c oxidase activity,null,null,GO:0005751;GO:0005739,mitochondrial respiratory chain complex IV;mitochondrion,GO:0004129,cytochrome-c oxidase activity,null,null,1.9.3.1 (Cytochrome-c oxidase),1.9.3.1 (Cytochrome-c oxidase)
PF3D7_1431000,"Pf3D7_14_v3:1,218,105..1,218,999(-)","mitochondrial ribosomal protein L17-2 precursor, putative",GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0005739;GO:0000315,mitochondrion;organellar large ribosomal subunit,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1431100,"Pf3D7_14_v3:1,221,775..1,222,818(+)",PhIL1 interacting protein PIP2,null,null,null,null,null,null,GO:0070258,inner membrane pellicle complex,GO:0005515,protein binding,null,null,null,null
PF3D7_1431200,"Pf3D7_14_v3:1,224,340..1,228,017(-)","OST-HTH associated domain protein, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1431300,"Pf3D7_14_v3:1,231,036..1,233,841(+)","large subunit GTPase 1, putative",null,null,GO:0005525,GTP binding,null,null,GO:0022625,cytosolic large ribosomal subunit,null,null,GO:0000027,ribosomal large subunit assembly,3.6.1.- (In phosphorous-containing anhydrides.);3.6.5.1 (Heterotrimeric G-protein GTPase),3.6.5.1 (Heterotrimeric G-protein GTPase)
PF3D7_1431400,"Pf3D7_14_v3:1,233,977..1,237,125(-)",surface-related antigen SRA,null,null,null,null,null,null,GO:0009986,cell surface,GO:0046812,host cell surface binding,GO:0030260,entry into host cell,null,null
PF3D7_1431500,"Pf3D7_14_v3:1,238,851..1,241,595(-)",mitogen-activated protein kinase 1,null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,GO:0005634,nucleus,GO:0004707,MAP kinase activity,GO:0006468,protein phosphorylation,2.7.11.24 (Mitogen-activated protein kinase),2.7.11.24 (Mitogen-activated protein kinase)
PF3D7_1431600,"Pf3D7_14_v3:1,244,018..1,245,406(+)","succinyl-CoA ligase [ADP-forming] subunit beta, putative",null,null,GO:0003824,catalytic activity,GO:0008152;GO:0006099,metabolic process;tricarboxylic acid cycle,GO:0005759;GO:0005739,mitochondrial matrix;mitochondrion,GO:0004775,succinate-CoA ligase (ADP-forming) activity,GO:0006104;GO:0006099,succinyl-CoA metabolic process;tricarboxylic acid cycle,6.2.1.5 (Succinate--CoA ligase (ADP-forming)),6.2.1.5 (Succinate--CoA ligase (ADP-forming))
PF3D7_1431700,"Pf3D7_14_v3:1,247,030..1,247,950(+)","60S ribosomal protein L14, putative",GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0022627;GO:0005634,cytosolic small ribosomal subunit;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1431800,"Pf3D7_14_v3:1,249,328..1,252,167(+)","apyrase, putative",null,null,GO:0016787,hydrolase activity,null,null,GO:0005783;GO:0020020,endoplasmic reticulum;food vacuole,null,null,null,null,3.6.1.5 (Apyrase),3.6.1.5 (Apyrase)
PF3D7_1431900,"Pf3D7_14_v3:1,253,540..1,256,878(+)","inner membrane complex suture component, putative",GO:0005886,plasma membrane,null,null,GO:0006810,transport,GO:0009986;GO:0070258;GO:0016021,cell surface;inner membrane pellicle complex;integral component of membrane,null,null,null,null,null,null
PF3D7_1432000,"Pf3D7_14_v3:1,257,643..1,258,971(-)","syntaxin, Qa-SNARE family",GO:0016020,membrane,null,null,GO:0016192,vesicle-mediated transport,GO:0031201;GO:0005886,SNARE complex;plasma membrane,GO:0005484,SNAP receptor activity,GO:0006886;GO:0031338,intracellular protein transport;regulation of vesicle fusion,null,null
PF3D7_1432100,"Pf3D7_14_v3:1,260,908..1,262,826(+)","voltage-dependent anion-selective channel protein, putative",GO:0005741,mitochondrial outer membrane,null,null,GO:0055085,transmembrane transport,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_1432200,"Pf3D7_14_v3:1,263,826..1,269,011(+)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1432300,"Pf3D7_14_v3:1,269,368..1,274,667(-)","conserved Plasmodium protein, unknown function",null,null,GO:0008536;GO:0005488,Ran GTPase binding;binding,GO:0006886,intracellular protein transport,null,null,null,null,null,null,null,null
PF3D7_1432400,"Pf3D7_14_v3:1,275,899..1,282,645(-)",leucine-rich repeat protein,null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1432500,"Pf3D7_14_v3:1,283,570..1,285,063(+)","RNA methyltransferase, putative",null,null,null,null,null,null,null,null,null,null,null,null,2.1.1.34 (tRNA (guanosine(18)-2'-O)-methyltransferase),2.1.1.34 (tRNA (guanosine(18)-2'-O)-methyltransferase)
PF3D7_1432600,"Pf3D7_14_v3:1,285,667..1,289,254(-)","conserved Plasmodium protein, unknown function",null,null,GO:0003677,DNA binding,null,null,null,null,null,null,null,null,null,4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)
PF3D7_1432700,"Pf3D7_14_v3:1,290,468..1,291,459(-)","protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative",null,null,null,null,null,null,null,null,GO:0004719,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,GO:0030091,protein repair,2.1.1.77 (Protein-L-isoaspartate(D-aspartate) O-methyltransferase),2.1.1.77 (Protein-L-isoaspartate(D-aspartate) O-methyltransferase)
PF3D7_1432800,"Pf3D7_14_v3:1,292,885..1,295,086(-)","HP12 protein homolog, putative",null,null,null,null,null,null,GO:0005802,trans-Golgi network,null,null,null,null,null,null
PF3D7_1432900,"Pf3D7_14_v3:1,296,173..1,297,211(-)","SF-assemblin, putative",null,null,GO:0005200,structural constituent of cytoskeleton,null,null,null,null,null,null,null,null,null,null
PF3D7_1433000,"Pf3D7_14_v3:1,298,639..1,298,977(-)","H/ACA ribonucleoprotein complex subunit 3, putative",null,null,GO:0030515,snoRNA binding,GO:0001522;GO:0042254,pseudouridine synthesis;ribosome biogenesis,null,null,null,null,null,null,null,null
PF3D7_1433100,"Pf3D7_14_v3:1,299,894..1,303,726(+)","HID1 domain-containing protein, putative",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1433200,"Pf3D7_14_v3:1,304,028..1,307,831(-)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0005886,integral component of membrane;plasma membrane,GO:0005524;GO:0003677,ATP binding;DNA binding,GO:0007049;GO:0051301;GO:0007059,cell cycle;cell division;chromosome segregation,null,null,null,null,null,null,null,null
PF3D7_1433300,"Pf3D7_14_v3:1,310,041..1,311,834(+)","chromatin assembly factor 1 P55 subunit, putative",GO:0016020,membrane,GO:0005515,protein binding,null,null,null,null,GO:0042393;GO:0051082,histone binding;unfolded protein binding,GO:0031497;GO:0006338;GO:0006334,chromatin assembly;chromatin remodeling;nucleosome assembly,null,null
PF3D7_1433400,"Pf3D7_14_v3:1,312,304..1,329,577(-)","zinc finger protein, putative",null,null,null,null,null,null,GO:0016020,membrane,null,null,null,null,null,null
PF3D7_1433500,"Pf3D7_14_v3:1,332,363..1,337,301(-)",DNA topoisomerase 2,null,null,GO:0005524;GO:0003677;GO:0003918,ATP binding;DNA binding;DNA topoisomerase type II (ATP-hydrolyzing) activity,GO:0006265,DNA topological change,GO:0005634,nucleus,GO:0003918,DNA topoisomerase type II (ATP-hydrolyzing) activity,GO:0006265,DNA topological change,5.99.1.3 (DNA topoisomerase (ATP-hydrolyzing)),5.99.1.3 (DNA topoisomerase (ATP-hydrolyzing))
PF3D7_1433600,"Pf3D7_14_v3:1,341,689..1,342,289(+)","signal peptidase complex subunit SPC1, putative",GO:0016021;GO:0005787,integral component of membrane;signal peptidase complex,GO:0008233,peptidase activity,GO:0006465,signal peptide processing,GO:0005787,signal peptidase complex,null,null,null,null,3.4.21.89 (Signal peptidase I),3.4.-.- (Acting on peptide bonds (peptide hydrolases).)
PF3D7_1433700,"Pf3D7_14_v3:1,342,484..1,348,994(-)","conserved Plasmodium protein, unknown function",null,null,null,null,GO:0008380,RNA splicing,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_1433800,"Pf3D7_14_v3:1,350,313..1,358,379(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,GO:0009657,plastid organization,null,null
PF3D7_1433900,"Pf3D7_14_v3:1,360,002..1,364,558(+)","protein kinase, putative",null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,GO:0004672,protein kinase activity,null,null,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_1434000,"Pf3D7_14_v3:1,364,749..1,366,113(-)","CCR4-associated factor 16, putative",null,null,GO:0005524;GO:0016887,ATP binding;ATPase activity,null,null,GO:0030014,CCR4-NOT complex,GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",GO:0042493;GO:0006810,response to drug;transport,null,null
PF3D7_1434100,"Pf3D7_14_v3:1,366,979..1,368,202(+)","queuine tRNA-ribosyltransferase, putative",null,null,GO:0008479;GO:0016763,"queuine tRNA-ribosyltransferase activity;transferase activity, transferring pentosyl groups",GO:0006400,tRNA modification,null,null,null,null,null,null,2.4.2.29 (tRNA-guanine(34) transglycosylase),2.4.2.29 (tRNA-guanine(34) transglycosylase)
PF3D7_1434200,"Pf3D7_14_v3:1,368,815..1,369,796(-)",calmodulin,null,null,GO:0005509,calcium ion binding,null,null,GO:0005634,nucleus,GO:0005509;GO:0048306,calcium ion binding;calcium-dependent protein binding,GO:0055074;GO:0030260;GO:0006508,calcium ion homeostasis;entry into host cell;proteolysis,null,null
PF3D7_1434300,"Pf3D7_14_v3:1,372,903..1,374,597(+)",Hsp70/Hsp90 organizing protein,null,null,GO:0005515,protein binding,null,null,GO:0005829,cytosol,GO:0030544;GO:0051879;GO:0005515,Hsp70 protein binding;Hsp90 protein binding;protein binding,null,null,null,null
PF3D7_1434400,"Pf3D7_14_v3:1,375,624..1,376,830(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0009986,cell surface,null,null,null,null,null,null
PF3D7_1434500,"Pf3D7_14_v3:1,378,348..1,402,665(-)","dynein-related AAA-type ATPase, putative",null,null,GO:0005524;GO:0016887,ATP binding;ATPase activity,null,null,GO:0016020,membrane,null,null,null,null,3.6.4.2 (Dynein ATPase),3.6.4.2 (Dynein ATPase)
PF3D7_1434600,"Pf3D7_14_v3:1,404,312..1,406,198(+)",methionine aminopeptidase 2,null,null,GO:0004177;GO:0008235,aminopeptidase activity;metalloexopeptidase activity,GO:0006508,proteolysis,GO:0005634,nucleus,GO:0008235,metalloexopeptidase activity,GO:0006464;GO:0006417;GO:0006412,cellular protein modification process;regulation of translation;translation,3.4.11.18 (Methionyl aminopeptidase),3.4.11.18 (Methionyl aminopeptidase)
PF3D7_1434700,"Pf3D7_14_v3:1,407,258..1,407,746(-)","mitochondrial import inner membrane translocase subunit TIM17, putative",null,null,null,null,null,null,GO:0005744;GO:0005739,TIM23 mitochondrial import inner membrane translocase complex;mitochondrion,GO:0008565,protein transporter activity,GO:0006626;GO:0015031,protein targeting to mitochondrion;protein transport,null,null
PF3D7_1434800,"Pf3D7_14_v3:1,410,139..1,410,897(+)","mitochondrial acidic protein MAM33, putative",GO:0005759,mitochondrial matrix,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1434900,"Pf3D7_14_v3:1,411,737..1,413,096(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435000,"Pf3D7_14_v3:1,414,023..1,415,315(+)","cytochrome c oxidase assembly protein COX15, putative",GO:0016021,integral component of membrane,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",GO:0006784;GO:0055114,heme a biosynthetic process;oxidation-reduction process,GO:0005743,mitochondrial inner membrane,null,null,GO:0008535,respiratory chain complex IV assembly,null,1.9.3.1 (Cytochrome-c oxidase)
PF3D7_1435100,"Pf3D7_14_v3:1,415,941..1,417,020(-)","ribonuclease H2 subunit B, putative",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435200,"Pf3D7_14_v3:1,419,383..1,420,934(+)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435300,"Pf3D7_14_v3:1,421,901..1,431,221(-)","glutamate synthase [NADH], putative",null,null,GO:0015930;GO:0051536;GO:0016491;GO:0016638;GO:0016639,"glutamate synthase activity;iron-sulfur cluster binding;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors;oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",GO:0006537;GO:0008152;GO:0006807;GO:0055114,glutamate biosynthetic process;metabolic process;nitrogen compound metabolic process;oxidation-reduction process,null,null,GO:0016040,glutamate synthase (NADH) activity,null,null,1.4.1.14 (Glutamate synthase (NADH)),1.4.1.14 (Glutamate synthase (NADH))
PF3D7_1435400,"Pf3D7_14_v3:1,433,738..1,434,310(-)","ER membrane protein complex subunit 4, putative",GO:0016021,integral component of membrane,null,null,null,null,GO:0072546,ER membrane protein complex,null,null,GO:0034975,protein folding in endoplasmic reticulum,null,null
PF3D7_1435500,"Pf3D7_14_v3:1,436,280..1,437,044(+)","clathrin light chain, putative",GO:0030132;GO:0030130,clathrin coat of coated pit;clathrin coat of trans-Golgi network vesicle,GO:0005198,structural molecule activity,GO:0006886;GO:0016192,intracellular protein transport;vesicle-mediated transport,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_1435600,"Pf3D7_14_v3:1,437,511..1,442,877(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435700,"Pf3D7_14_v3:1,445,085..1,449,491(-)","ataxin-2 like protein, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435700,"Pf3D7_14_v3:1,445,085..1,449,491(-)","ataxin-2 like protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1435800,"Pf3D7_14_v3:1,452,604..1,454,118(+)","GTPase Era, putative",null,null,GO:0005524;GO:0005525;GO:0003723,ATP binding;GTP binding;RNA binding,GO:0006576,cellular biogenic amine metabolic process,GO:0005739,mitochondrion,null,null,null,null,3.6.5.2 (Small monomeric GTPase),3.6.5.2 (Small monomeric GTPase)
PF3D7_1435900,"Pf3D7_14_v3:1,454,555..1,455,496(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1436000,"Pf3D7_14_v3:1,458,131..1,459,870(+)",glucose-6-phosphate isomerase,null,null,GO:0004347,glucose-6-phosphate isomerase activity,GO:0006094;GO:0006096,gluconeogenesis;glycolytic process,null,null,GO:0004347,glucose-6-phosphate isomerase activity,GO:0006094;GO:0006096;GO:0006098,gluconeogenesis;glycolytic process;pentose-phosphate shunt,5.3.1.9 (Glucose-6-phosphate isomerase),5.3.1.9 (Glucose-6-phosphate isomerase)
PF3D7_1436100,"Pf3D7_14_v3:1,461,388..1,467,590(+)","conserved Plasmodium membrane protein, unknown function",GO:0005576,extracellular region,GO:0016787,hydrolase activity,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_1436200,"Pf3D7_14_v3:1,467,629..1,474,438(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1436300,"Pf3D7_14_v3:1,479,777..1,482,758(+)",translocon component PTEX150,null,null,null,null,null,null,GO:0097619;GO:0020007;GO:1903561;GO:0020026;GO:0005634;GO:0020005,PTEX complex;apical complex;extracellular vesicle;merozoite dense granule;nucleus;symbiont-containing vacuole membrane,GO:0005515,protein binding,GO:0044053,translocation of peptides or proteins into host cell cytoplasm,null,null
PF3D7_1436400,"Pf3D7_14_v3:1,484,166..1,488,129(+)","conserved Plasmodium protein, unknown function",null,null,GO:0003677,DNA binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1436500,"Pf3D7_14_v3:1,488,706..1,490,001(+)","GTP-binding protein, putative",GO:0005622,intracellular,GO:0005525,GTP binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1436600,"Pf3D7_14_v3:1,490,654..1,494,214(-)",cGMP-dependent protein kinase,null,null,GO:0005524;GO:0004692;GO:0004672;GO:0004674,ATP binding;cGMP-dependent protein kinase activity;protein kinase activity;protein serine/threonine kinase activity,GO:0006468,protein phosphorylation,GO:0005737;GO:0005783;GO:0019898,cytoplasm;endoplasmic reticulum;extrinsic component of membrane,GO:0004692;GO:0005515,cGMP-dependent protein kinase activity;protein binding,GO:0030260;GO:0035890;GO:0006468;GO:0042493,entry into host cell;exit from host;protein phosphorylation;response to drug,2.7.11.12 (cGMP-dependent protein kinase),2.7.11.12 (cGMP-dependent protein kinase)
PF3D7_1436700,"Pf3D7_14_v3:1,495,799..1,498,533(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,3.4.21.92 (Endopeptidase Clp)
PF3D7_1436800,"Pf3D7_14_v3:1,498,758..1,499,492(-)",ATP-dependent Clp protease proteolytic subunit,null,null,GO:0004252,serine-type endopeptidase activity,GO:0006508,proteolysis,GO:0020011,apicoplast,null,null,null,null,3.4.21.92 (Endopeptidase Clp),3.4.21.92 (Endopeptidase Clp)
PF3D7_1436900,"Pf3D7_14_v3:1,500,128..1,500,965(-)","histidine triad protein, putative",null,null,GO:0003824,catalytic activity,null,null,null,null,GO:0008270,zinc ion binding,null,null,3.6.1.29 (Bis(5'-adenosyl)-triphosphatase),3.6.1.29 (Bis(5'-adenosyl)-triphosphatase)
